time,baddebt,bd
1509,0,0
1510,0,0
1511,1,0
1512,1,0
1601,0,0
1602,0,0
1603,0,0
1604,0,0
1605,0,1
1606,1,1
1607,1,1
1608,1,1
1609,1,1
1610,0,1
1611,0,1
1612,0,1
1701,0,0
1702,0,0
1703,1,0
1704,1,0
1705,1,0
1706,1,0
1707,1,0
1708,1,0
1709,1,0
1710,0,0
1711,0,0
1712,0,0
1801,0,1
1802,0,1
1803,,1
1804,,1
1805,,1
1806,,1
1807,,1
1808,,1
1809,,1
1810,,0
1811,,0
1812,,0
1901,,0
1902,,0
1903,,0
1904,,0
1905,,0
1906,,0
1907,,0
1908,,0
1909,,0
1910,,0
1911,,0
1912,,0
2001,,0
2002,,1
2003,,1
2004,,1
2005,,1
2006,,1
2007,,1
2008,,1
2009,,1
2010,,1
2011,,1
2012,,1
2101,,1
2102,,1
2103,,0
2104,,0
2105,,0
2106,,0
2107,,0
2108,,0
2109,,0
2110,,0
2111,,0
2112,,0
2201,,0
2202,,0
2203,,1
2204,,1
2205,,0
2206,,0
2207,,0
2208,,0
2209,,0
2210,,0
2211,,0
2212,,0
2301,,0
2302,,0
2303,,0
